date,B,BF,CL,CN,C,DD,F,GS,HFA,L,LS,M,MI,MC,MTF,OO,SC,SB,SF,W,SiteId
12/11/15,5,0,0,169,0,0,0,0,0,0,2,0,1,24,2,0,2,0,2,0,97
9/26/16,1,123,0,147,0,0,3,0,0,4,0,6,9,22,0,0,1,0,1,0,97
6/26/16,33,0,0,65,0,0,0,0,5,0,0,38,3,23,4,0,0,0,42,3,98
11/19/16,1,0,0,67,0,0,0,0,7,0,0,65,0,37,1,1,0,0,103,1,98
8/10/15,29,0,0,25,0,3,0,0,125,0,0,64,0,17,4,3,0,0,6,11,99
4/14/16,9,0,0,16,0,3,0,0,2,0,0,128,6,16,5,0,0,0,9,31,99
8/9/16,37,1,0,18,0,3,0,0,10,0,0,24,7,6,3,0,0,0,1,5,99
10/21/16,20,3,0,34,0,5,1,0,18,0,0,31,2,57,1,0,0,0,7,0,99
9/12/16,12,0,0,74,0,0,0,0,32,0,0,37,20,9,0,0,0,0,17,4,100
6/14/15,26,5,4,156,1,1,2,36,2,0,0,25,20,3,1,0,0,0,0,3,101
8/22/15,27,0,0,150,0,2,2,0,12,1,0,32,23,2,0,0,0,0,0,0,101
11/28/15,94,6,0,45,1,0,22,76,11,1,0,38,18,20,9,0,3,1,4,5,101
10/20/15,36,1,0,126,8,0,0,1,3,1,0,17,40,3,3,0,0,0,0,4,102
11/27/15,0,0,0,156,0,0,0,0,0,0,0,0,0,14,20,0,0,0,0,5,103
4/24/16,0,1,0,8,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,7,103
10/22/16,0,0,0,104,0,1,0,0,0,0,0,0,31,0,5,0,0,0,0,1,103
4/18/15,3,42,2,7,0,0,0,0,1,0,4,0,70,3,4,0,0,0,0,71,104
5/24/16,34,108,4,33,0,1,5,0,0,0,1,47,26,1,4,0,0,0,26,7,105
7/14/16,23,2,0,144,0,0,1,0,0,0,0,53,6,3,1,0,0,0,12,1,105
10/24/16,16,0,0,33,2,2,36,0,0,0,0,100,0,56,0,0,0,0,0,0,105
5/3/15,13,22,0,47,0,0,0,0,0,0,7,32,87,21,1,0,0,0,2,0,106
5/28/16,31,21,2,4,0,0,8,1,0,0,0,3,4,170,5,0,0,0,13,4,106
11/28/16,30,0,17,5,0,2,48,0,5,3,5,43,0,22,0,0,0,0,12,19,106
5/2/15,13,23,0,21,0,4,0,0,0,0,0,78,88,27,2,0,0,0,30,2,107
10/17/15,70,14,5,45,0,4,44,0,0,0,1,16,2,154,4,0,0,0,0,2,107
4/10/16,29,7,4,3,0,8,3,1,1,0,0,18,8,86,1,0,0,0,28,6,107
10/10/16,45,0,2,28,0,4,18,0,0,0,0,18,0,83,0,0,0,0,7,0,107
5/2/15,16,34,2,11,0,3,2,0,0,0,2,22,98,31,1,0,0,0,5,4,108
10/17/15,54,5,3,38,0,34,24,0,2,0,3,29,13,130,14,0,0,0,4,8,108
4/10/16,41,0,6,1,0,2,1,0,0,0,0,7,0,175,0,0,3,2,19,0,108
10/15/16,72,0,8,27,0,6,8,0,1,0,1,8,0,62,1,0,0,0,7,5,108
7/20/16,0,59,0,99,1,0,0,0,0,0,1,0,111,65,2,0,0,0,0,7,109
7/20/16,0,165,0,452,1,0,0,0,0,1,1,2,122,106,1,0,0,0,0,5,110
10/25/15,40,7,0,46,0,1,5,0,23,1,0,119,2,6,0,0,2,0,1,3,111
5/9/15,13,8,0,42,0,10,3,1,14,0,2,19,60,39,6,0,0,0,2,3,112
5/7/16,15,43,0,59,0,0,0,0,7,0,0,55,94,66,0,0,0,0,24,2,112
8/27/16,53,10,0,220,1,0,0,0,5,0,0,28,9,36,1,0,0,0,12,2,112
10/10/16,15,0,0,67,0,1,1,0,11,0,0,52,0,42,21,0,0,0,6,0,113
9/14/16,42,6,5,9,0,0,2,0,0,0,0,94,0,18,6,0,0,0,49,0,114
8/14/15,36,10,1,79,0,0,2,0,30,0,0,201,1,18,0,0,0,0,15,0,115
11/16/15,18,7,3,65,0,0,3,0,21,0,0,29,9,19,1,0,0,0,26,7,115
6/7/16,29,50,0,209,0,0,2,0,2,0,0,92,44,45,1,0,0,0,16,5,115
8/2/16,41,0,1,47,0,0,6,0,12,0,0,63,0,37,0,0,0,0,4,4,115
11/22/16,27,3,1,96,0,0,3,0,2,0,0,32,20,83,9,0,0,0,82,4,115
7/14/16,36,7,4,51,0,2,0,0,7,0,0,24,2,62,15,0,0,0,39,2,116
6/21/16,14,1,0,51,0,1,0,0,2,0,0,5,125,2,4,0,0,0,10,4,117
9/27/16,24,0,0,81,0,0,0,0,8,0,0,80,1,5,2,0,0,0,21,17,117
7/6/16,23,0,0,23,0,5,0,0,19,0,0,31,20,65,1,0,0,0,62,1,118
10/19/16,79,0,0,45,0,0,0,0,2,0,0,9,1,28,5,0,0,0,14,28,118
4/5/16,17,12,0,7,1,1,0,8,0,0,0,133,4,0,3,0,0,0,16,0,119
1/11/15,58,0,1,282,0,0,1,0,0,0,0,1,62,93,12,0,0,0,0,25,120
4/19/15,69,22,1,115,0,0,0,1,0,0,2,0,100,30,7,0,1,0,0,10,120
7/19/15,29,23,1,93,0,0,0,0,0,0,2,40,10,13,3,0,0,0,0,3,120
11/11/15,28,5,0,69,0,0,28,0,0,0,0,8,6,298,0,0,0,0,0,2,120
1/17/16,40,27,1,26,0,1,15,0,0,1,0,4,53,24,10,0,0,0,5,2,120
4/10/16,37,4,0,37,0,0,0,0,0,0,0,4,250,17,0,0,0,0,2,1,120
7/31/16,24,7,0,228,0,0,0,0,0,0,2,2,39,189,2,0,0,0,0,1,120
8/10/16,72,0,0,75,0,0,2,0,0,0,0,0,1,74,7,0,0,0,0,4,120
